EV Charger Registration Code,Name,No. of Charging Outlets,Connector ID,Type of Connector,Rated Output Power (kW),Postal Code,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,Longitude,Latitude
R113481D,COMFORTDELGRO ENGIE PTE. LTD.,1,R113481D-001,Type 2,7,560177,177,ANG MO KIO AVENUE 4,KEBUN BARU LINK 2,L1,48,Yes,103.8386846,1.376202178
R113482H,COMFORTDELGRO ENGIE PTE. LTD.,1,R113482H-001,Type 2,7,560177,177,ANG MO KIO AVENUE 4,KEBUN BARU LINK 2,L1,49,Yes,103.8386846,1.376202178
R113731R,COMFORTDELGRO ENGIE PTE. LTD.,1,R113731R-001,Type 2,7,640536,536,JURONG WEST STREET 52,,L1,33,Yes,103.715502,1.348814065
R113732D,COMFORTDELGRO ENGIE PTE. LTD.,1,R113732D-001,Type 2,7,640536,536,JURONG WEST STREET 52,,L1,34,Yes,103.715502,1.348814065
R113733H,COMFORTDELGRO ENGIE PTE. LTD.,1,R113733H-001,Type 2,7,640536,536,JURONG WEST STREET 52,,L1,35,Yes,103.715502,1.348814065
R113865F,COMFORTDELGRO ENGIE PTE. LTD.,1,R113865F-001,Type 2,7,760235,235,YISHUN STREET 21,,L1,102,Yes,103.8368143,1.434648154
R113866Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R113866Z-001,Type 2,7,760235,235,YISHUN STREET 21,,L1,103,Yes,103.8368143,1.434648154
R113867C,COMFORTDELGRO ENGIE PTE. LTD.,1,R113867C-001,Type 2,7,760235,235,YISHUN STREET 21,,L1,104,Yes,103.8368143,1.434648154
R114029A,COMFORTDELGRO ENGIE PTE. LTD.,1,R114029A-001,Type 2,7,560642,642,ANG MO KIO AVENUE 5,ANG MO KIO 61,L1,194,Yes,103.8408247,1.378848189
R114031H,COMFORTDELGRO ENGIE PTE. LTD.,1,R114031H-001,Type 2,7,560642,642,ANG MO KIO AVENUE 5,ANG MO KIO 61,L1,194A,Yes,103.8408247,1.378848189
R114033E,COMFORTDELGRO ENGIE PTE. LTD.,1,R114033E-001,Type 2,7,560642,642,ANG MO KIO AVENUE 5,ANG MO KIO 61,L1,194B,Yes,103.8408247,1.378848189
R114158K,COMFORTDELGRO ENGIE PTE. LTD.,1,R114158K-001,CCS2,30,238459,9,PENANG ROAD,,B1,1,Yes,103.8452782,1.297839483
R114161K,COMFORTDELGRO ENGIE PTE. LTD.,1,R114161K-001,CCS2,30,238459,9,PENANG ROAD,,B1,2,Yes,103.8452782,1.297839483
R114162B,COMFORTDELGRO ENGIE PTE. LTD.,1,R114162B-001,CCS2,30,238459,9,PENANG ROAD,,B1,3,Yes,103.8452782,1.297839483
R114164Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R114164Z-001,Type 2,7,238459,9,PENANG ROAD,,L2,1,Yes,103.8452782,1.297839483
R114351B,COMFORTDELGRO ENGIE PTE. LTD.,1,R114351B-001,Type 2,7,650137,137,BUKIT BATOK WEST AVENUE 6,,L1,98,Yes,103.7446779,1.350137241
R114352F,COMFORTDELGRO ENGIE PTE. LTD.,1,R114352F-001,Type 2,7,650137,137,BUKIT BATOK WEST AVENUE 6,,L1,99,Yes,103.7446779,1.350137241
R114353Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R114353Z-001,Type 2,7,650137,137,BUKIT BATOK WEST AVENUE 6,,L1,100,Yes,103.7446779,1.350137241
R114354C,COMFORTDELGRO ENGIE PTE. LTD.,1,R114354C-001,Type 2,7,680291,291,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L1,220,Yes,103.740912,1.37842621
R114355G,COMFORTDELGRO ENGIE PTE. LTD.,1,R114355G-001,Type 2,7,680291,291,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L1,221,Yes,103.740912,1.37842621
R114356R,COMFORTDELGRO ENGIE PTE. LTD.,1,R114356R-001,Type 2,7,680291,291,CHOA CHU KANG AVENUE 2,KEAT HONG TEMBUSU,L1,222,Yes,103.740912,1.37842621
R114357D,COMFORTDELGRO ENGIE PTE. LTD.,1,R114357D-001,Type 2,7,120331,331,CLEMENTI AVENUE 2,,L1,250,Yes,103.7676912,1.314488114
R114358H,COMFORTDELGRO ENGIE PTE. LTD.,1,R114358H-001,Type 2,7,120331,331,CLEMENTI AVENUE 2,,L1,251,Yes,103.7676912,1.314488114
R114359A,COMFORTDELGRO ENGIE PTE. LTD.,1,R114359A-001,Type 2,7,120331,331,CLEMENTI AVENUE 2,,L1,252,Yes,103.7676912,1.314488114
R114360D,COMFORTDELGRO ENGIE PTE. LTD.,1,R114360D-001,Type 2,7,640520,520,JURONG WEST STREET 52,,L1,68,Yes,103.7178799,1.34577449
R114361H,COMFORTDELGRO ENGIE PTE. LTD.,1,R114361H-001,Type 2,7,640520,520,JURONG WEST STREET 52,,L1,69,Yes,103.7178799,1.34577449
R114362A,COMFORTDELGRO ENGIE PTE. LTD.,1,R114362A-001,Type 2,7,640520,520,JURONG WEST STREET 52,,L1,70,Yes,103.7178799,1.34577449
R114414F,COMFORTDELGRO ENGIE PTE. LTD.,1,R114414F-001,Type 2,7,600244,244,JURONG EAST STREET 24,,L1,125,Yes,103.7420009,1.342122435
R114415Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R114415Z-001,Type 2,7,600244,244,JURONG EAST STREET 24,,L1,126,Yes,103.7420009,1.342122435
R114416C,COMFORTDELGRO ENGIE PTE. LTD.,1,R114416C-001,Type 2,7,600244,244,JURONG EAST STREET 24,,L1,127,Yes,103.7420009,1.342122435
R114418R,COMFORTDELGRO ENGIE PTE. LTD.,1,R114418R-001,Type 2,7,560547,547,ANG MO KIO AVENUE 10,,L1,32,Yes,103.8581398,1.373896221
R114420G,COMFORTDELGRO ENGIE PTE. LTD.,1,R114420G-001,Type 2,7,560547,547,ANG MO KIO AVENUE 10,,L1,33,Yes,103.8581398,1.373896221
R114421R,COMFORTDELGRO ENGIE PTE. LTD.,1,R114421R-001,Type 2,7,560547,547,ANG MO KIO AVENUE 10,,L1,34,Yes,103.8581398,1.373896221
